#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
184,"03 NCCR OFF vs. GAST (09/16/23), Play 054",54,,11,-25,1,10,3,,11,TRAIN LT OFF Y-AGGY SPIDER BOOK FORCE,GUN,,TRAIN,,,,,,,,,SPIDER BOOK FORCE,,BEETLE-SPIDER BOOK,,,,,,FORCE,R,,,4,0,N
185,"03 NCCR OFF vs. GAST (09/16/23), Play 055",55,,11,-28,2,7,1,,11,TRAIN LT OFF OX BEETLE SLIP,GUN,,TRAIN,,,,,,,,,BEETLE SLIP,,BEETLE-SPIDER SLIP,,,,,,,R,,,4,0,N
186,"03 NCCR OFF vs. GAST (09/16/23), Play 056",56,,11,-29,3,6,5,,11,DUAL LT OFF CLASSY F-JILL COAT X-DANGLE,GUN,,DUAL,,,,,,,,JILL-JACK,F-JILL COAT X-DANGLE,,,COAT DANGLE-X,COAT,DANGLE-X,,,,P,C,,11,86,Y
187,"03 NCCR OFF vs. GAST (09/16/23), Play 057",57,,11,-34,4,1,4,,11,(U) TROLLY RT Y-IN JORDAN,UNDER,,TROLLY,,,,,IN-Y,,,,JORDAN,,SNEAKER,,,,,,,R,,,4,4,Y
188,"03 NCCR OFF vs. GAST (09/16/23), Play 058",58,,11,-38,1,10,1,,11,FIB DOUBLE RT OFF H-IN JILL Z-GIFTPUMP H-SMACK,GUN,X,DOUBLE,,,,,IN-H,,,JILL-JACK,JILL Z-GIFT PUMP H-SMACK,,,GIFT PUMP-Z SMACK-H,GIFT PUMP-Z,SMACK-H,,,,P,C,,4,10,N
189,"03 NCCR OFF vs. GAST (09/16/23), Play 059",59,,11,-39,2,9,14,,11,DUAL RT N. LA GRONK HERO,GUN,,DUAL,,,,,,,,LA,N. LA GRONK HERO,,,GRONK HERO,GRONK,HERO,,,,P,SR,,4,4,Y
190,"03 NCCR OFF vs. GAST (09/16/23), Play 060",60,,11,47,1,10,-5,,11,DUAL LT CLASSY QK JILL SPACING X-STICK,GUN,,DUAL,,,,,,,,JILL-JACK QK,QK JILL SPACING X-STICK,,,SPACING STICK-X,SPACING,STICK-X,,,,P,SACK,SACK,11,11,N
191,"03 NCCR OFF vs. GAST (09/16/23), Play 061",61,,11,-48,2,15,-8,,11,DUAL LT CLASSY F-JILL CLIPPER DRACO,GUN,,DUAL,,,,,,,,JILL-JACK,F-JILL CLIPPER DRACO,,,CLIPPER DRACO,CLIPPER,DRACO,,,,P,SACK,SACK,11,11,N
192,"03 NCCR OFF vs. GAST (09/16/23), Play 062",62,,11,-40,3,23,0,,11,TROLLY RT ROCK X-BULLS,GUN,,TROLLY,,,,,,,,LOAD-ROCK,ROCK X-BULLS,,,BULLS-X,BULLS-X,,,,,P,I,,4,2,N
193,"03 NCCR OFF vs. GAST (09/16/23), Play 063",63,,12,-20,1,10,19,,11,FIB DOUBLE LT OFF H-JET N. CALI Z-SURF,GUN,X,DOUBLE,,,,,JET-H,,,CALI,N. CALI Z-SURF,,,SURF-Z,SURF-Z,,,,,P,C,,4,13,Y
194,"03 NCCR OFF vs. GAST (09/16/23), Play 064",64,,12,-39,1,10,0,,11,Z-TANGO RT S. SPRINT SHOE,GUN,,TANGO,,,,,,,,SPRINT,S. SPRINT SHOE,,,SHOE,SHOE,,,,,P,I,,4,83,N
195,"03 NCCR OFF vs. GAST (09/16/23), Play 065",65,,12,-39,2,10,,,11,BUMP DUAL RT CLASSY ROCK H-RAILROAD,GUN,,DUAL,,,,,,,BUMP,LOAD-ROCK,ROCK H-RAILROAD,,,RAILROAD-H,RAILROAD-H,,,,,P,,,4,4,Y
196,"03 NCCR OFF vs. GAST (09/16/23), Play 066",66,,12,46,1,10,0,,11,DUAL RT NASTY ROCK U-TURN LOOKIE,GUN,,DUAL,,,,,,,,LOAD-ROCK,ROCK U-TURN LOOKIE,,,U-TURN LOOKIE,U-TURN,LOOKIE,,,,P,I,,4,13,N
197,"03 NCCR OFF vs. GAST (09/16/23), Play 067",67,#76 PENALTY. TAKES AWAY 3RD DOWN CONVERSION,12,46,2,10,,,11,YAC TROLLY LT ROSE,GUN,,TROLLY,,,,,AC-Y,,,,ROSE,,,,,,SALLY-ROSE,,,P,C,PENALTY,4,13,
198,"03 NCCR OFF vs. GAST (09/16/23), Play 068",68,,12,-44,2,20,4,,11,DUAL RT JACK Y-PUNCH DANCER,GUN,,DUAL,,,,,,,,JILL-JACK,JACK Y-PUNCH DANCER,,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,SR,,4,4,N
199,"03 NCCR OFF vs. GAST (09/16/23), Play 069",69,,12,-48,3,16,0,,11,Z-TANGO RT S. SPRINT SHOE,GUN,,TANGO,,,,,,,,SPRINT,S. SPRINT SHOE,,,SHOE,SHOE,,,,,P,I,,4,83,N
200,"03 NCCR OFF vs. GAST (09/16/23), Play 070",70,,12,-48,4,16,-9,,11,DUAL RT SPORTSCENTER,GUN,,DUAL,,,,,,,,LOAD-ROCK,SPORTSCENTER,,,SPORTSCENTER,SPORTSCENTER,,,,,P,C,,4,86,N
201,"04 NCCR OFF vs. FLUN (09/23/23), Play 002",2,,1,-25,2,10,3,,11,Z-TOXIC RT Z-JET STEEL Y-SHOP,GUN,,TOXIC,,,,,JET-Z,,,,STEEL Y-SHOP,,IRON-STEEL SHOP,,,,,SHOP-Y,,P,C,,4,81,N
202,"04 NCCR OFF vs. FLUN (09/23/23), Play 004",4,,2,-25,0,10,0,,21,FIB TROUBLE LT OFF H-PLANE H-SLIDE N. CALI Z-SURF,GUN,X,TROUBLE,OFF,,,,PLANE-H,,,CALI SLIDE,H-SLIDE N. CALI Z-SURF,,,SURF-Z SLIDE,SURF-Z,SLIDE,,,,P,I,,11,19,N
203,"04 NCCR OFF vs. FLUN (09/23/23), Play 007",7,,3,-25,0,10,0,,12,DEUCE LT SLOT X-IN N. SPRINTY COAT,GUN,,DEUCE,,SLOT,,,IN-X,,,SPRINTY,N. SPRINTY COAT,,,COAT,COAT,,,,,P,I,,11,19,N
204,"04 NCCR OFF vs. FLUN (09/23/23), Play 010",10,,3,-40,1,10,7,,12,FLANK RT CLASSY QK JILL CHIP HERO SPACING,GUN,,FLANK,,CLASSY,,,,,,JILL-JACK QK CHIP,QK JILL CHIP HERO SPACING,,,HERO SPACING,HERO,SPACING,,,,P,C,,11,10,Y
205,"04 NCCR OFF vs. FLUN (09/23/23), Play 012",12,,3,-47,3,3,0,,12,Z-TANGO RT TEQUILA (CK. Z-TORCH RT ROSE CRACK),GUN,,TORCH,,,,,,,,,ROSE CRACK,TEQUILA,,,,,SALLY-ROSE CRACK,,,P,I,,11,13,N
206,"04 NCCR OFF vs. FLUN (09/23/23), Play 013",13,,4,-25,0,10,-13,,12,(U) FIB DOT RT NASTY X-IN WOLF RENO X-SLIDE Y-TARDY,UNDER,X,DOT,,NASTY,,,IN-X,,,WOLF-JAGUAR RENO,WOLF RENO X-SLIDE Y-TARDY,,,SLIDE-X TARDY-Y,SLIDE-X,TARDY-Y,,,,P,SACK,SACK,11,11,N
207,"04 NCCR OFF vs. FLUN (09/23/23), Play 028",28,,7,32,0,10,-10,,11,DAREDEVIL,GUN,,TRAIN,OFF,OX,,,,,,,DAREDEVIL,,,DAREDEVIL,DAREDEVIL,,,,,P,C,,4,13,N
208,"04 NCCR OFF vs. FLUN (09/23/23), Play 034",34,,8,-36,1,10,9,,12,TRIPS LT OX 1 R-JET S. PITT COVER,EMPTY,,TRIPS,,OX / 1,,X,,,JET-R,,S. PITT COVER,,PITT COVER,,,,,,,R,,,4,21,Y
209,"04 NCCR OFF vs. FLUN (09/23/23), Play 038",38,,9,-38,0,10,1,,12,FIB DUAL LT OFF BEETLE Y-TRAIL,GUN,X,DUAL,OFF,,,,,,,,BEETLE Y-TRAIL,,BEETLE-SPIDER TRAIL,,,,,TRAIL-Y,,R,,,4,21,N
210,"04 NCCR OFF vs. FLUN (09/23/23), Play 048",48,,10,-5,0,10,-4,,12,DEUCE RT SLOT Q-LION BOSS,GUN,,DEUCE,,SLOT,,,,,,,Q-LION BOSS,,BEAR-LION Q BOSS,,,,,,,R,,,4,4,N
211,"04 NCCR OFF vs. FLUN (09/23/23), Play 055",55,,11,-42,2,3,23,,11,TRAIN RT OFF LOAD PIN SPROLES,GUN,,TRAIN,OFF,,,,,,,LOAD-ROCK,LOAD PIN SPROLES,2 MINUTE,,PIN SPROLES,PIN,SPROLES,,,,P,C,,4,10,Y
212,"04 NCCR OFF vs. FLUN (09/23/23), Play 001",1,,1,-25,0,10,0,,11,YAC HAC FIB DUAL RT OFF BEAR OMAR,GUN,X,DUAL,,,,,AC-Y,AC-H,,,BEAR OMAR,,BEAR-LION OMAR,,,,,,,R,,,4,4,N
213,"04 NCCR OFF vs. FLUN (09/23/23), Play 003",3,,1,-28,3,7,4,,11,NINER THURSDAY (CK. JILL CHIP X-LIGHTRAIL),GUN,,TRAIN,,,BILLY,,,,,JILL-JACK CHIP,JILL CHIP X-LIGHTRAIL,NINER,,LIGHTRAIL-X,LIGHTRAIL-X,,,,,P,I,,4,4,N
